,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,budget,budget,budget,budget,budget,budget,budget,budget,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,runtime,runtime,runtime,runtime,runtime,runtime,runtime,runtime,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_height,a_height,a_height,a_height,a_height,a_height,a_height,a_height
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
wiki_movie_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3217,14.0,21502796.0,0.0,21502796.0,21502796.0,21502796.0,21502796.0,21502796.0,14.0,45683784.55568862,0.0,45683784.55568862,45683784.55568862,45683784.55568862,45683784.55568862,45683784.55568862,14.0,11000000.0,0.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,14.0,23370059.880239513,3.865916443338773e-09,23370059.880239516,23370059.880239516,23370059.880239516,23370059.880239516,23370059.880239516,14.0,81.0,0.0,81.0,81.0,81.0,81.0,81.0,12.0,33.25,8.357087356903067,26.0,26.75,34.0,35.25,56.0,9.0,1.8155555555555556,0.07434902674398494,1.68,1.75,1.85,1.87,1.87
3333,14.0,50000000.0,0.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,14.0,1478333333.3333333,2.4741865237368146e-07,1478333333.3333333,1478333333.3333333,1478333333.3333333,1478333333.3333333,1478333333.3333333,14.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,14.0,2956666.6666666665,4.832395554173466e-10,2956666.6666666665,2956666.6666666665,2956666.6666666665,2956666.6666666665,2956666.6666666665,14.0,190.0,0.0,190.0,190.0,190.0,190.0,190.0,1.0,11.0,,11.0,11.0,11.0,11.0,11.0,4.0,1.665,0.09433981132056601,1.6,1.6,1.63,1.6949999999999998,1.8
3746,15.0,33139618.0,0.0,33139618.0,33139618.0,33139618.0,33139618.0,33139618.0,15.0,102331910.0644038,3.08483344022492e-08,102331910.06440382,102331910.06440382,102331910.06440382,102331910.06440382,102331910.06440382,15.0,28000000.0,0.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,15.0,86461270.67014793,1.54241672011246e-08,86461270.67014794,86461270.67014794,86461270.67014794,86461270.67014794,86461270.67014794,15.0,116.0,0.0,116.0,116.0,116.0,116.0,116.0,13.0,38.38461538461539,10.00448617319968,21.0,35.0,37.0,46.0,54.0,9.0,1.7964444444444443,0.05847886607807799,1.727,1.753,1.78,1.85,1.905
3837,20.0,119500000.0,0.0,119500000.0,119500000.0,119500000.0,119500000.0,119500000.0,20.0,722293015.3321974,1.223061504465525e-07,722293015.3321974,722293015.3321974,722293015.3321974,722293015.3321974,722293015.3321974,20.0,2600000.0,0.0,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,20.0,15715161.839863712,3.822067201454766e-09,15715161.83986371,15715161.83986371,15715161.83986371,15715161.83986371,15715161.83986371,20.0,93.0,0.0,93.0,93.0,93.0,93.0,93.0,20.0,45.55,10.205648590750847,31.0,38.0,42.0,51.75,69.0,11.0,1.7918181818181815,0.12081541141908854,1.6,1.7,1.78,1.895,1.98
3947,15.0,8551228.0,0.0,8551228.0,8551228.0,8551228.0,8551228.0,8551228.0,15.0,23248855.895785443,7.7120836005623e-09,23248855.89578544,23248855.89578544,23248855.89578544,23248855.89578544,23248855.89578544,15.0,6000000.0,0.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,15.0,16312643.678160913,5.784062700421724e-09,16312643.678160919,16312643.678160919,16312643.678160919,16312643.678160919,16312643.678160919,15.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,,,,,,,,7.0,1.7285714285714289,0.08414839499926532,1.57,1.705,1.75,1.77,1.83
4227,9.0,20000000.0,0.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,9.0,110874999.99999999,0.0,110874999.99999999,110874999.99999999,110874999.99999999,110874999.99999999,110874999.99999999,9.0,11000000.0,0.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,9.0,60981249.999999985,7.90253409579263e-09,60981249.99999999,60981249.99999999,60981249.99999999,60981249.99999999,60981249.99999999,9.0,187.0,0.0,187.0,187.0,187.0,187.0,187.0,9.0,37.666666666666664,10.41633332799983,27.0,29.0,34.0,47.0,53.0,3.0,1.7733333333333334,0.06806859285554052,1.72,1.7349999999999999,1.75,1.8,1.85
4231,17.0,16624456.0,0.0,16624456.0,16624456.0,16624456.0,16624456.0,16624456.0,17.0,35319502.9269461,0.0,35319502.9269461,35319502.9269461,35319502.9269461,35319502.9269461,35319502.9269461,17.0,7000000.0,0.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,17.0,14871856.287425147,5.759912019992704e-09,14871856.287425147,14871856.287425147,14871856.287425147,14871856.287425147,14871856.287425147,17.0,86.0,0.0,86.0,86.0,86.0,86.0,86.0,14.0,30.571428571428573,12.683813341385976,18.0,21.25,24.0,39.75,57.0,13.0,1.7723846153846154,0.10711639966374466,1.57,1.7,1.765,1.85,1.93
4560,16.0,211409945.0,0.0,211409945.0,211409945.0,211409945.0,211409945.0,211409945.0,16.0,413496408.41234833,1.2311882483823829e-07,413496408.41234833,413496408.41234833,413496408.41234833,413496408.41234833,413496408.41234833,16.0,72000000.0,0.0,72000000.0,72000000.0,72000000.0,72000000.0,72000000.0,16.0,140824696.80264607,3.077970620955957e-08,140824696.80264607,140824696.80264607,140824696.80264607,140824696.80264607,140824696.80264607,16.0,175.0,0.0,175.0,175.0,175.0,175.0,175.0,15.0,37.86666666666667,14.922976850991832,11.0,29.0,39.0,43.5,67.0,10.0,1.796,0.06139851608775066,1.702,1.7625,1.779,1.8450000000000002,1.88
