,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,budget,budget,budget,budget,budget,budget,budget,budget,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,runtime,runtime,runtime,runtime,runtime,runtime,runtime,runtime,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_height,a_height,a_height,a_height,a_height,a_height,a_height,a_height
4726,11.0,411348924.0,0.0,411348924.0,411348924.0,411348924.0,411348924.0,411348924.0,11.0,988798091.0243905,2.5005551532987395e-07,988798091.0243902,988798091.0243902,988798091.0243902,988798091.0243902,988798091.0243902,11.0,35000000.0,0.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,11.0,84132791.32791327,0.0,84132791.32791327,84132791.32791327,84132791.32791327,84132791.32791327,84132791.32791327,11.0,126.0,0.0,126.0,126.0,126.0,126.0,126.0,11.0,49.90909090909091,14.68641920588232,31.0,37.0,52.0,61.0,72.0,8.0,1.7787499999999998,0.0764269025184943,1.68,1.74,1.775,1.7925,1.93
4728,11.0,266822354.0,0.0,266822354.0,266822354.0,266822354.0,266822354.0,266822354.0,11.0,566877671.8514968,1.2502775766493698e-07,566877671.8514969,566877671.8514969,566877671.8514969,566877671.8514969,566877671.8514969,11.0,80000000.0,0.0,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,11.0,169964071.85628742,3.1256939416234244e-08,169964071.8562874,169964071.8562874,169964071.8562874,169964071.8562874,169964071.8562874,11.0,126.0,0.0,126.0,126.0,126.0,126.0,126.0,10.0,45.1,16.79583281650541,23.0,34.25,43.5,52.75,75.0,8.0,1.7725,0.1269139190835381,1.52,1.74,1.78,1.835,1.96
4729,16.0,238207122.0,0.0,238207122.0,238207122.0,238207122.0,238207122.0,238207122.0,16.0,442260004.63422287,6.155941241911914e-08,442260004.63422287,442260004.63422287,442260004.63422287,442260004.63422287,442260004.63422287,16.0,125000000.0,0.0,125000000.0,125000000.0,125000000.0,125000000.0,125000000.0,16.0,232077446.36316064,0.0,232077446.36316064,232077446.36316064,232077446.36316064,232077446.36316064,232077446.36316064,16.0,124.0,0.0,124.0,124.0,124.0,124.0,124.0,15.0,42.13333333333333,18.39979295949769,20.0,28.5,36.0,54.5,80.0,12.0,1.7666666666666666,0.07463040244898171,1.65,1.7149999999999999,1.78,1.815,1.88
4730,10.0,336529844.0,0.0,336529844.0,336529844.0,336529844.0,336529844.0,336529844.0,10.0,658218239.5325248,1.2565762441032646e-07,658218239.5325247,658218239.5325247,658218239.5325247,658218239.5325247,658218239.5325247,10.0,100000000.0,0.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,10.0,195589856.67034176,0.0,195589856.67034176,195589856.67034176,195589856.67034176,195589856.67034176,195589856.67034176,10.0,122.0,0.0,122.0,122.0,122.0,122.0,122.0,10.0,42.0,19.977765418362264,20.0,27.75,34.0,53.25,78.0,10.0,1.7738,0.07824860666136141,1.63,1.7575,1.7854999999999999,1.83,1.867
5224,26.0,1585634.0,0.0,1585634.0,1585634.0,1585634.0,1585634.0,1585634.0,26.0,32147596.75428571,1.5196262340524152e-08,32147596.754285716,32147596.754285716,32147596.754285716,32147596.754285716,32147596.754285716,26.0,839727.0,0.0,839727.0,839727.0,839727.0,839727.0,839727.0,26.0,17024865.12,0.0,17024865.12,17024865.12,17024865.12,17024865.12,17024865.12,26.0,119.0,0.0,119.0,119.0,119.0,119.0,119.0,18.0,29.444444444444443,8.030985744361884,11.0,25.5,31.5,34.75,40.0,5.0,1.7468,0.11063995661604359,1.65,1.67,1.68,1.854,1.88
5313,16.0,213525736.0,0.0,213525736.0,213525736.0,213525736.0,213525736.0,213525736.0,16.0,369555761.6234146,1.2311882483823829e-07,369555761.6234146,369555761.6234146,369555761.6234146,369555761.6234146,369555761.6234146,0.0,,,,,,,,0.0,,,,,,,,16.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,6.0,41.166666666666664,18.669940189156115,21.0,26.25,40.0,50.75,70.0,3.0,1.6966666666666665,0.11547005383792526,1.63,1.63,1.63,1.73,1.83
8481,11.0,31899000.0,0.0,31899000.0,31899000.0,31899000.0,31899000.0,31899000.0,11.0,115369675.84097858,3.1256939416234244e-08,115369675.84097858,115369675.84097858,115369675.84097858,115369675.84097858,115369675.84097858,11.0,6500000.0,0.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,11.0,23508664.627930675,3.9071174270292805e-09,23508664.62793068,23508664.62793068,23508664.62793068,23508664.62793068,23508664.62793068,11.0,105.0,0.0,105.0,105.0,105.0,105.0,105.0,10.0,36.4,9.754770912510226,19.0,30.25,36.0,45.25,48.0,5.0,1.7937999999999998,0.1375616225551298,1.651,1.68,1.778,1.88,1.98
9294,12.0,29400000.0,0.0,29400000.0,29400000.0,29400000.0,29400000.0,29400000.0,12.0,96405914.97227357,1.5563755269858047e-08,96405914.97227356,96405914.97227356,96405914.97227356,96405914.97227356,96405914.97227356,12.0,350000.0,0.0,350000.0,350000.0,350000.0,350000.0,350000.0,12.0,1147689.4639556373,2.43183676091532e-10,1147689.4639556375,1147689.4639556375,1147689.4639556375,1147689.4639556375,1147689.4639556375,12.0,85.0,0.0,85.0,85.0,85.0,85.0,85.0,5.0,23.2,5.540758070878027,15.0,22.0,23.0,26.0,30.0,3.0,1.7986666666666666,0.10670207745556483,1.676,1.763,1.85,1.86,1.87
9835,12.0,50000000.0,0.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,12.0,163955637.70794824,0.0,163955637.70794824,163955637.70794824,163955637.70794824,163955637.70794824,163955637.70794824,12.0,6000000.0,0.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,12.0,19674676.524953786,0.0,19674676.524953786,19674676.524953786,19674676.524953786,19674676.524953786,19674676.524953786,12.0,99.0,0.0,99.0,99.0,99.0,99.0,99.0,11.0,45.0,12.041594578792296,30.0,36.5,41.0,55.0,64.0,10.0,1.7521,0.0884564550750506,1.594,1.70675,1.76,1.81,1.88
9979,25.0,162091208.0,0.0,162091208.0,162091208.0,162091208.0,162091208.0,162091208.0,25.0,290014929.896117,1.8250120749944285e-07,290014929.896117,290014929.896117,290014929.896117,290014929.896117,290014929.896117,25.0,65000000.0,0.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,25.0,116298537.56933936,6.083373583314762e-08,116298537.56933938,116298537.56933938,116298537.56933938,116298537.56933938,116298537.56933938,25.0,159.0,0.0,159.0,159.0,159.0,159.0,159.0,15.0,40.13333333333333,16.535099752028223,9.0,33.0,37.0,52.0,67.0,9.0,1.7836666666666667,0.07540225460820123,1.7,1.702,1.78,1.82,1.91
10193,14.0,90000000.0,0.0,90000000.0,90000000.0,90000000.0,90000000.0,90000000.0,14.0,603629489.6030245,0.0,603629489.6030245,603629489.6030245,603629489.6030245,603629489.6030245,603629489.6030245,14.0,850000.0,0.0,850000.0,850000.0,850000.0,850000.0,850000.0,14.0,5700945.17958412,9.664791108346932e-10,5700945.17958412,5700945.17958412,5700945.17958412,5700945.17958412,5700945.17958412,14.0,99.0,0.0,99.0,99.0,99.0,99.0,99.0,10.0,31.9,10.774970997640782,22.0,27.0,29.5,32.75,60.0,5.0,1.7879999999999998,0.09311283477587821,1.68,1.71,1.79,1.88,1.88
10487,9.0,10900000.0,0.0,10900000.0,10900000.0,10900000.0,10900000.0,10900000.0,9.0,28604437.869822484,3.951267047896315e-09,28604437.869822484,28604437.869822484,28604437.869822484,28604437.869822484,28604437.869822484,9.0,3600000.0,0.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,9.0,9447337.278106509,0.0,9447337.278106509,9447337.278106509,9447337.278106509,9447337.278106509,9447337.278106509,9.0,84.0,0.0,84.0,84.0,84.0,84.0,84.0,4.0,27.25,5.909032633745278,21.0,24.0,26.5,29.75,35.0,3.0,1.83,0.05291502622129186,1.77,1.81,1.85,1.86,1.87
10977,17.0,6995302.0,0.0,6995302.0,6995302.0,6995302.0,6995302.0,6995302.0,17.0,14429843.893023254,0.0,14429843.893023254,14429843.893023254,14429843.893023254,14429843.893023254,14429843.893023254,0.0,,,,,,,,0.0,,,,,,,,17.0,122.0,0.0,122.0,122.0,122.0,122.0,122.0,13.0,38.53846153846154,6.488648865716506,26.0,36.0,39.0,43.0,48.0,7.0,1.7808571428571427,0.12399385545451917,1.562,1.716,1.842,1.85,1.93
11242,12.0,85131830.0,0.0,85131830.0,85131830.0,85131830.0,85131830.0,85131830.0,12.0,143286400.77798864,3.1127510539716095e-08,143286400.7779886,143286400.7779886,143286400.7779886,143286400.7779886,143286400.7779886,12.0,137000000.0,0.0,137000000.0,137000000.0,137000000.0,137000000.0,137000000.0,12.0,230586337.76091084,3.1127510539716095e-08,230586337.7609108,230586337.7609108,230586337.7609108,230586337.7609108,230586337.7609108,12.0,106.0,0.0,106.0,106.0,106.0,106.0,106.0,10.0,48.3,11.624208455728168,37.0,42.0,43.0,51.75,72.0,10.0,1.7853,0.09448580140246825,1.63,1.7125,1.8014999999999999,1.8450000000000002,1.93
11701,15.0,46300000.0,0.0,46300000.0,46300000.0,46300000.0,46300000.0,46300000.0,15.0,121503254.4378698,1.54241672011246e-08,121503254.43786982,121503254.43786982,121503254.43786982,121503254.43786982,121503254.43786982,15.0,17000000.0,0.0,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0,15.0,44612426.03550295,0.0,44612426.035502955,44612426.035502955,44612426.035502955,44612426.035502955,44612426.035502955,15.0,112.0,0.0,112.0,112.0,112.0,112.0,112.0,11.0,38.54545454545455,10.994213353975232,25.0,30.0,36.0,43.0,58.0,6.0,1.861,0.07872991807438899,1.753,1.80725,1.875,1.93,1.93
13149,19.0,90683916.0,0.0,90683916.0,90683916.0,90683916.0,90683916.0,90683916.0,19.0,162252412.49016637,6.123795114923494e-08,162252412.4901664,162252412.4901664,162252412.4901664,162252412.4901664,162252412.4901664,19.0,45000000.0,0.0,45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,19.0,80514372.16338879,1.5309487787308735e-08,80514372.1633888,80514372.1633888,80514372.1633888,80514372.1633888,80514372.1633888,19.0,102.0,0.0,102.0,102.0,102.0,102.0,102.0,17.0,33.1764705882353,12.894937447103258,10.0,27.0,33.0,46.0,53.0,11.0,1.7969090909090908,0.04999490883170915,1.72,1.7610000000000001,1.8,1.82,1.89
13901,16.0,1108462.0,0.0,1108462.0,1108462.0,1108462.0,1108462.0,1108462.0,16.0,2793198.2784090904,4.809329095243683e-10,2793198.2784090904,2793198.2784090904,2793198.2784090904,2793198.2784090904,2793198.2784090904,0.0,,,,,,,,0.0,,,,,,,,16.0,103.0,0.0,103.0,103.0,103.0,103.0,103.0,0.0,,,,,,,,6.0,1.7013333333333336,0.08505684373797714,1.6,1.6275,1.71,1.7685,1.8
16782,10.0,1856000.0,0.0,1856000.0,1856000.0,1856000.0,1856000.0,1856000.0,10.0,42484438.70967741,7.853601525645404e-09,42484438.70967741,42484438.70967741,42484438.70967741,42484438.70967741,42484438.70967741,10.0,672000.0,0.0,672000.0,672000.0,672000.0,672000.0,672000.0,10.0,15382296.774193546,0.0,15382296.774193546,15382296.774193546,15382296.774193546,15382296.774193546,15382296.774193546,10.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,3.0,26.333333333333332,1.5275252316519468,25.0,25.5,26.0,27.0,28.0,4.0,1.7625000000000002,0.12473304828045108,1.6,1.6975,1.79,1.855,1.87
18996,17.0,3000000.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,17.0,20120982.986767482,3.839941346661803e-09,20120982.986767482,20120982.986767482,20120982.986767482,20120982.986767482,20120982.986767482,17.0,500000.0,0.0,500000.0,500000.0,500000.0,500000.0,500000.0,17.0,3353497.164461247,0.0,3353497.164461247,3353497.164461247,3353497.164461247,3353497.164461247,3353497.164461247,17.0,112.0,0.0,112.0,112.0,112.0,112.0,112.0,13.0,32.46153846153846,6.603223765901326,19.0,30.0,33.0,35.0,47.0,7.0,1.7571428571428573,0.08654753717163882,1.63,1.7,1.77,1.815,1.87
19715,11.0,212000000.0,0.0,212000000.0,212000000.0,212000000.0,212000000.0,212000000.0,11.0,366915121.9512195,6.251387883246849e-08,366915121.95121944,366915121.95121944,366915121.95121944,366915121.95121944,366915121.95121944,11.0,45000000.0,0.0,45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,11.0,77882926.82926826,1.5628469708117122e-08,77882926.82926828,77882926.82926828,77882926.82926828,77882926.82926828,77882926.82926828,11.0,109.0,0.0,109.0,109.0,109.0,109.0,109.0,10.0,43.5,16.11934655416693,25.0,33.0,36.0,54.0,69.0,8.0,1.7861249999999997,0.06938595473354611,1.71,1.7325,1.77,1.84175,1.88
20786,22.0,20112339.0,0.0,20112339.0,20112339.0,20112339.0,20112339.0,20112339.0,22.0,33851318.20303606,7.62591236411272e-09,33851318.203036055,33851318.203036055,33851318.203036055,33851318.203036055,33851318.203036055,22.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,22.0,25246679.316888046,7.62591236411272e-09,25246679.316888046,25246679.316888046,25246679.316888046,25246679.316888046,25246679.316888046,22.0,147.0,0.0,147.0,147.0,147.0,147.0,147.0,22.0,43.95454545454545,17.447819546476484,22.0,32.5,38.0,57.0,78.0,14.0,1.7574285714285713,0.08339960734616507,1.65,1.704,1.75,1.75975,1.98
21180,20.0,61615296.0,0.0,61615296.0,61615296.0,61615296.0,61615296.0,61615296.0,20.0,123929178.12244895,0.0,123929178.12244895,123929178.12244895,123929178.12244895,123929178.12244895,123929178.12244895,20.0,34000000.0,0.0,34000000.0,34000000.0,34000000.0,34000000.0,34000000.0,20.0,68385487.52834466,1.5288268805819064e-08,68385487.52834466,68385487.52834466,68385487.52834466,68385487.52834466,68385487.52834466,20.0,122.0,0.0,122.0,122.0,122.0,122.0,122.0,19.0,37.94736842105263,13.184476074411345,19.0,30.5,34.0,45.5,72.0,12.0,1.78325,0.05571212533273986,1.68,1.75,1.7885,1.83,1.854
22216,17.0,71868327.0,0.0,71868327.0,71868327.0,71868327.0,71868327.0,71868327.0,17.0,124384792.29073168,0.0,124384792.29073168,124384792.29073168,124384792.29073168,124384792.29073168,124384792.29073168,17.0,26000000.0,0.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,17.0,44999024.390243895,0.0,44999024.390243895,44999024.390243895,44999024.390243895,44999024.390243895,44999024.390243895,17.0,107.0,0.0,107.0,107.0,107.0,107.0,107.0,14.0,44.285714285714285,10.535132224562302,36.0,37.5,42.0,46.5,77.0,9.0,1.7614444444444441,0.1067627171712006,1.57,1.7,1.8,1.842,1.88
22751,18.0,36402320.0,0.0,36402320.0,36402320.0,36402320.0,36402320.0,36402320.0,18.0,61269179.962049335,1.5333168370351987e-08,61269179.962049335,61269179.962049335,61269179.962049335,61269179.962049335,61269179.962049335,18.0,42000000.0,0.0,42000000.0,42000000.0,42000000.0,42000000.0,42000000.0,18.0,70690702.08728653,3.0666336740703974e-08,70690702.08728653,70690702.08728653,70690702.08728653,70690702.08728653,70690702.08728653,18.0,118.0,0.0,118.0,118.0,118.0,118.0,118.0,12.0,40.583333333333336,13.453342493314597,26.0,31.0,36.0,53.75,61.0,8.0,1.776125,0.04312916646539791,1.73,1.7375,1.7795,1.8,1.85
25491,31.0,175000000.0,0.0,175000000.0,175000000.0,175000000.0,175000000.0,175000000.0,31.0,970156249.9999999,0.0,970156249.9999999,970156249.9999999,970156249.9999999,970156249.9999999,970156249.9999999,31.0,1200000.0,0.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,31.0,6652499.999999999,0.0,6652499.999999999,6652499.999999999,6652499.999999999,6652499.999999999,6652499.999999999,31.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,22.0,35.45454545454545,13.563702517160497,19.0,28.25,31.0,41.5,75.0,12.0,1.7395333333333334,0.13826402498864485,1.5,1.6622999999999999,1.74,1.8075,1.98
25506,16.0,23380203.0,0.0,23380203.0,23380203.0,23380203.0,23380203.0,23380203.0,16.0,84559592.50152904,3.077970620955957e-08,84559592.50152904,84559592.50152904,84559592.50152904,84559592.50152904,84559592.50152904,16.0,18000000.0,0.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,16.0,65100917.43119265,7.694926552389893e-09,65100917.43119265,65100917.43119265,65100917.43119265,65100917.43119265,65100917.43119265,16.0,129.0,0.0,129.0,129.0,129.0,129.0,129.0,13.0,44.53846153846154,17.061728051477203,19.0,37.0,41.0,57.0,72.0,6.0,1.7279333333333333,0.0846377378399652,1.6256,1.66,1.75,1.7650000000000001,1.842
26541,15.0,2300000.0,0.0,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0,15.0,6596928.051738078,1.928020900140575e-09,6596928.051738076,6596928.051738076,6596928.051738076,6596928.051738076,6596928.051738076,15.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,15.0,4302344.381568311,9.640104500702874e-10,4302344.38156831,4302344.38156831,4302344.38156831,4302344.38156831,4302344.38156831,15.0,92.0,0.0,92.0,92.0,92.0,92.0,92.0,0.0,,,,,,,,5.0,1.6689999999999998,0.07932212806020777,1.55,1.638,1.68,1.727,1.75
27079,14.0,118071125.0,0.0,118071125.0,118071125.0,118071125.0,118071125.0,118071125.0,14.0,237480924.88662133,6.185466309342036e-08,237480924.88662127,237480924.88662127,237480924.88662127,237480924.88662127,237480924.88662127,14.0,38000000.0,0.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,14.0,76430839.00226757,1.546366577335509e-08,76430839.00226755,76430839.00226755,76430839.00226755,76430839.00226755,76430839.00226755,14.0,118.0,0.0,118.0,118.0,118.0,118.0,118.0,13.0,41.38461538461539,13.111944055824708,6.0,38.0,41.0,45.0,63.0,12.0,1.7786666666666668,0.08649575221659819,1.64,1.7240000000000002,1.775,1.8075,1.93
27097,18.0,146027888.0,0.0,146027888.0,146027888.0,146027888.0,146027888.0,146027888.0,18.0,277359179.13490367,0.0,277359179.1349036,277359179.1349036,277359179.1349036,277359179.1349036,277359179.1349036,18.0,46000000.0,0.0,46000000.0,46000000.0,46000000.0,46000000.0,46000000.0,18.0,87370449.67880085,1.5333168370351987e-08,87370449.67880085,87370449.67880085,87370449.67880085,87370449.67880085,87370449.67880085,18.0,110.0,0.0,110.0,110.0,110.0,110.0,110.0,17.0,43.529411764705884,9.975705783670293,23.0,41.0,43.0,47.0,64.0,15.0,1.782733333333333,0.11526829985898525,1.6,1.7085,1.78,1.8415,2.01
27098,16.0,97000000.0,0.0,97000000.0,97000000.0,97000000.0,97000000.0,97000000.0,16.0,299526544.8215839,6.155941241911914e-08,299526544.8215839,299526544.8215839,299526544.8215839,299526544.8215839,299526544.8215839,16.0,12000000.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,16.0,37054830.28720626,1.5389853104779786e-08,37054830.28720626,37054830.28720626,37054830.28720626,37054830.28720626,37054830.28720626,16.0,112.0,0.0,112.0,112.0,112.0,112.0,112.0,16.0,44.4375,13.246225877584905,19.0,39.25,46.5,51.0,62.0,11.0,1.7781818181818183,0.07997726949804951,1.65,1.72,1.78,1.84,1.91
28269,29.0,481840909.0,0.0,481840909.0,481840909.0,481840909.0,481840909.0,481840909.0,29.0,881222445.9443296,3.639580568784051e-07,881222445.9443299,881222445.9443299,881222445.9443299,881222445.9443299,881222445.9443299,29.0,70000000.0,0.0,70000000.0,70000000.0,70000000.0,70000000.0,70000000.0,29.0,128020618.55670105,4.549475710980064e-08,128020618.55670103,128020618.55670103,128020618.55670103,128020618.55670103,128020618.55670103,29.0,169.0,0.0,169.0,169.0,169.0,169.0,169.0,20.0,33.3,8.766563270686374,23.0,27.0,30.5,38.25,54.0,18.0,1.8114166666666667,0.04755499911866757,1.7145,1.7825,1.815,1.85,1.88
28327,13.0,196567262.0,0.0,196567262.0,196567262.0,196567262.0,196567262.0,196567262.0,13.0,395363177.76417226,0.0,395363177.76417226,395363177.76417226,395363177.76417226,395363177.76417226,395363177.76417226,13.0,55000000.0,0.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,13.0,110623582.7664399,1.5509620304898416e-08,110623582.76643988,110623582.76643988,110623582.76643988,110623582.76643988,110623582.76643988,13.0,121.0,0.0,121.0,121.0,121.0,121.0,121.0,12.0,36.75,14.181453958026884,20.0,29.0,33.5,43.25,73.0,8.0,1.7512499999999998,0.09448166866797872,1.6,1.7125,1.775,1.7925,1.88
29781,15.0,30859000.0,0.0,30859000.0,30859000.0,30859000.0,30859000.0,30859000.0,15.0,186520838.16013625,0.0,186520838.16013625,186520838.16013625,186520838.16013625,186520838.16013625,186520838.16013625,15.0,85000.0,0.0,85000.0,85000.0,85000.0,85000.0,85000.0,15.0,513764.9063032365,2.4100261251757185e-10,513764.9063032367,513764.9063032367,513764.9063032367,513764.9063032367,513764.9063032367,15.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,10.0,32.7,13.46641913963933,23.0,24.5,27.5,31.25,61.0,2.0,1.75,0.25455844122715704,1.57,1.6600000000000001,1.75,1.8399999999999999,1.93
